"(5,2)",5,-0.196
"(5,3)",5,-0.196
"(5,4)",5,-0.196
"(5,5)",5,-0.196
"(0,0)",6,5.191
"(0,1)",6,6.793
"(0,2)",6,5.059
"(0,3)",6,2.36
"(0,4)",6,4.459
"(0,5)",6,2.47
"(1,0)",6,2.644
"(1,1)",6,3.865
"(1,2)",6,1.447
"(1,3)",6,1.471
"(1,4)",6,3.331
"(1,5)",6,2.471
"(2,0)",6,1.503
"(2,1)",6,2.644
"(2,2)",6,0.368
"(2,3)",6,0.731
"(2,4)",6,2.471
"(2,5)",6,1.718
"(3,0)",6,-0.234
"(3,1)",6,-0.234
"(3,2)",6,-0.234
"(3,3)",6,-0.122
"(3,4)",6,0.217
"(3,5)",6,0.956
"(4,0)",6,-0.234
"(4,1)",6,-0.234
"(4,2)",6,-0.234
"(4,3)",6,-0.234
"(4,4)",6,-1.319
"(4,5)",6,0.217
"(5,0)",6,-0.234
"(5,1)",6,-0.234
"(5,2)",6,-0.234
"(5,3)",6,-0.234
"(5,4)",6,-0.234
"(5,5)",6,-0.234
"(0,0)",7,6.116
"(0,1)",7,7.725
"(0,2)",7,5.984
"(0,3)",7,2.911
"(0,4)",7,5.01
"(0,5)",7,3.021
"(1,0)",7,3.545
"(1,1)",7,4.785
"(1,2)",7,2.348
"(1,3)",7,2.018
"(1,4)",7,3.882
"(1,5)",7,3.013
"(2,0)",7,2.352
"(2,1)",7,3.545
"(2,2)",7,1.179
"(2,3)",7,1.27
"(2,4)",7,3.013
"(2,5)",7,2.257
"(3,0)",7,-0.271
"(3,1)",7,-0.271
"(3,2)",7,-0.183
"(3,3)",7,0.108
"(3,4)",7,0.608
"(3,5)",7,1.437
"(4,0)",7,-0.271
"(4,1)",7,-0.271
"(4,2)",7,-0.271
"(4,3)",7,-0.26
"(4,4)",7,-1.088
"(4,5)",7,0.608
"(5,0)",7,-0.271
"(5,1)",7,-0.271
"(5,2)",7,-0.271
"(5,3)",7,-0.271
"(5,4)",7,-0.271
"(5,5)",7,-0.271
"(0,0)",8,7.035
"(0,1)",8,8.648
"(0,2)",8,6.903
"(0,3)",8,3.455
"(0,4)",8,5.555
"(0,5)",8,3.565
"(1,0)",8,4.452
"(1,1)",8,5.702
"(1,2)",8,3.255
"(1,3)",8,2.562
"(1,4)",8,4.426
"(1,5)",8,3.557
"(2,0)",8,3.233
"(2,1)",8,4.452
"(2,2)",8,2.053
"(2,3)",8,1.809
"(2,4)",8,3.556
"(2,5)",8,2.793
"(3,0)",8,-0.309
"(3,1)",8,-0.238
"(3,2)",8,0.009
"(3,3)",8,0.463
"(3,4)",8,1.05
"(3,5)",8,1.95
"(4,0)",8,-0.309
"(4,1)",8,-0.309
"(4,2)",8,-0.238
"(4,3)",8,-0.087
"(4,4)",8,-0.733
"(4,5)",8,1.05
"(5,0)",8,-0.309
"(5,1)",8,-0.309
"(5,2)",8,-0.309
"(5,3)",8,-0.309
"(5,4)",8,-0.309
"(5,5)",8,-0.309
"(0,0)",9,7.946
"(0,1)",9,9.561
"(0,2)",9,7.815
"(0,3)",9,3.995
"(0,4)",9,6.094
"(0,5)",9,4.104
"(1,0)",9,5.357
"(1,1)",9,6.612
"(1,2)",9,4.16
"(1,3)",9,3.101
"(1,4)",9,4.965
"(1,5)",9,4.094
"(2,0)",9,4.126
"(2,1)",9,5.357
"(2,2)",9,2.944
"(2,3)",9,2.347
"(2,4)",9,4.094
"(2,5)",9,3.33
"(3,0)",9,-0.29
"(3,1)",9,-0.079
"(3,2)",9,0.328
"(3,3)",9,0.883
"(3,4)",9,1.536
"(3,5)",9,2.469
"(4,0)",9,-0.345
"(4,1)",9,-0.29
"(4,2)",9,-0.079
"(4,3)",9,0.245
"(4,4)",9,-0.313
"(4,5)",9,1.536
"(5,0)",9,-0.345
"(5,1)",9,-0.345
"(5,2)",9,-0.345
"(5,3)",9,-0.345
"(5,4)",9,-0.345
"(5,5)",9,-0.345
"(0,0)",10,8.85
"(0,1)",10,10.466
"(0,2)",10,8.718
"(0,3)",10,4.529
"(0,4)",10,6.629
